overall_grade	additional_credit	_state_accountability_status	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	school_level_	most_recent_quality_review_score	_school_support_organization
A	9	In Good Standing	B	2.33	89.7	Juan S. Mendez	46.7	14K478	A	ENTERPRISE, BUSINESS AND TECHNOLOGY HIGH SCHOOL	9.0	25.0	A	14	HS	A	High School	Well Developed (2007-08)	CLSO
A	8	In Good Standing	B	2.35	70.5	Janet Ruth Price	37.3	14K488	A	BROOKLYN PREPARATORY HIGH SCHOOL	8.5	16.7	B	14	HS	B	High School	Proficient (2008-09)	ESO
A	9	In Good Standing	B	2.45	81.3	Gill Cornell	42.3	14K558	B	WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN	10.3	19.7	A	14	HS	A	High School	Proficient (2008-09)	New Visions
A	12	In Good Standing	A	2.60	102.3	Kathleen Elvin	57.1	14K561	A	WILLIAMSBURG PREPARATORY SCHOOL	13.1	20.1	A	14	HS	A	High School	Well Developed (2007-08)	ESO
A	9.8	In Good Standing	A	3.35	90.0	Maria Masullo	47.1	14K577	B	CONSELYEA PREPARATORY SCHOOL	11.7	21.4	A	14	ESMS	A	Middle	Proficient (2007-08)	CLSO
A	9.0	In Good Standing	B	3.17	91.7	Brian Walsh	55.7	14K582	D	M.S. 582	8.5	18.5	A	14	ESMS	A	Middle	Proficient (2008-09)	CLSO
A	3.0	Improvement (year 1) -  Basic	A	2.81	82.1	Taeko Onishi	47.8	14K586		LYONS COMMUNITY SCHOOL	12.3	19.0	A	14	ESMS	A	Middle	Well Developed (2008-09)	New Visions
""				2.27		Taeko Onishi		14K586		LYONS COMMUNITY SCHOOL				14	HS		High School		New Visions
""	5	Improvement (year 1) -  Basic																Well Developed (2008-09)	
B	4	Restructuring (Advanced) -  Focused	C	2.02	59.7	Melissa Silberman	34.2	14K610	B	AUTOMOTIVE HIGH SCHOOL	6.7	14.8	B	14	HS	B	High School	Well Developed (2007-08)	CLSO
""				2.87		Talana Bradley		14K614		YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN				14	ESMS		Middle		New Visions
""		In Good Standing																No QR in last two years	
""				2.07		Javier Guzman		14K632		FRANCES PERKINS ACADEMY				14	HS		High School		CLSO
""	0	Pending																	
A	8	Restructuring (year 1) -  Focused	A	2.02	86.8	Hector Calderon	51.1	14K685	A	EL PUENTE ACADEMY FOR PEACE AND JUSTICE	13.7	14.0	A	14	HS	B	High School	Well Developed (2007-08)	ESO
A	4.5	In Good Standing	A	61.08	79.8	Zaida Vega	44.3	15K001	B	P.S. 001 THE BERGEN	11.8	19.2	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	5.3	In Good Standing	A	53.57	95.3	Laura Scott	54.4	15K010	A	MAGNET SCHOOL OF MATH, SCIENCE AND DESIGN TECHNOLOGY	14.1	21.5	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	7.5	In Good Standing	A	63.99	95.6	Peggy Wyns-Madison	54.6	15K015	A	P.S. 015 PATRICK F. DALY	13.1	20.4	A	15	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	7.5	Restructuring (year 2) -  Focused	A	65.67	93.6	Christina Fuentes	55.1	15K024	A	P.S. 024	11.7	19.3	A	15	ESMS	A	Elementary	Outstanding (2007-08)	ESO
""						Winston Hamann		15K027		AGNES Y. HUMPHREY SCHOOL FOR LEADERSHIP				15	ESMS		K-8		New Visions
""		Restructuring (Advanced) -  Focused							D									Proficient (2008-09)	
""						Winston Hamann		15K027		AGNES Y. HUMPHREY SCHOOL FOR LEADERSHIP				15	HS		High School		New Visions
""	1	Restructuring (Advanced) -  Focused																Proficient (2008-09)	
A	3.8	In Good Standing	A	24.93	72.7	Melanie Raneri-Woods	40.9	15K029	C	P.S. 029 JOHN M. HARRIGAN	10.8	17.2	A	15	ESMS	A	Elementary	Proficient (2008-09)	ESO
A	5.3	In Good Standing	A	62.42	94.9	Deborah Ann Florio	57.9	15K032	A	P.S. 032 SAMUELS MILLS SPROLE	11.8	19.9	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	6.0	In Good Standing	C	49.89	79.9	Yolanda Ramirez	51.8	15K038	D	P.S. 038 THE PACIFIC	7.2	14.9	A	15	ESMS	B	Elementary	Underdeveloped with Proficient Features (2008-09)	CLSO
A	0.8	In Good Standing	A	33.90	85.1	Anita De Paz	54.2	15K039	B	P.S. 039 HENRY BRISTOW	11.3	18.8	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	8.3	In Good Standing	B	3.71	73.3	Lenore Berner	36.4	15K051	A	M.S. 51 WILLIAM ALEXANDER	9.1	19.5	B	15	ESMS	A	Middle	Well Developed (2007-08)	CLSO
A	3.0	In Good Standing	A	27.83	93.2	Giselle Mcgee	60.0	15K058	A	P.S. 058 THE CARROLL	10.2	20.0	A	15	ESMS	A	Elementary	Proficient (2007-08)	CLSO
A	8.3	In Good Standing	B	3.10	84.7	Ailene Altman Mitchell	44.8	15K088	B	J.H.S. 088 PETER ROUGET	9.4	22.2	A	15	ESMS	A	Middle	Well Developed (2007-08)	CLSO
A	9.0	In Good Standing	A	51.63	88.7	Janette Caban	51.0	15K094	A	P.S. 094 THE HENRY LONGFELLOW	10.2	18.5	A	15	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
A	1.5	In Good Standing	A	21.16	68.9	Cynthia Holton	39.9	15K107	A	P.S. 107 JOHN W. KIMBALL	10.2	17.3	B	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	0.0	In Good Standing	A	56.53	74.3	Annabelle Martinez	39.2	15K124	A	P.S. 124 SILAS B. DUTCHER	11.3	23.8	B	15	ESMS	A	Elementary	Proficient (2007-08)	CLSO
A	4.5	In Good Standing	B	48.33	89.5	Maria Nunziata	53.8	15K130	A	P.S. 130 THE PARKSIDE	9.3	21.9	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	5.3	In Good Standing	A	55.40	92.3	Ruth Quiles	53.9	15K131	A	P.S. 131 BROOKLYN	12.5	20.6	A	15	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
A	5.3	Restructuring (year 2) -  Focused	A	2.79	80.2	Eric Sackler	43.6	15K136	B	I.S. 136 CHARLES O. DEWEY	10.4	20.9	A	15	ESMS	A	Middle	Proficient (2007-08)	ESO
A	2.3	In Good Standing	A	30.77	83.2	Anna Allanbrook	49.3	15K146	A	P.S. 146	12.3	19.3	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	3.0	In Good Standing	B	26.97	78.5	Samuel Ortiz	48.8	15K154	B	MAGNET SCHOOL FOR SCIENCE & TECHNOLOGY	9.6	17.1	A	15	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	5.3	In Good Standing	A	53.69	72.9	Josephine Santiago	39.8	15K169	B	P.S. 169 SUNSET PARK	10.4	17.4	B	15	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
A	1.5	In Good Standing	A	63.18	93.9	Jack Spatola	52.4	15K172	A	P.S. 172 BEACON SCHOOL OF EXCELLENCE	15.0	25.0	A	15	ESMS	A	Elementary	Outstanding (2007-08)	ESO
A	3.8	In Good Standing	A	36.26	74.0	Sharon Fiden	41.0	15K230	B	P.S. 230 DORIS L. COHEN	11.9	17.3	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	6.8	In Good Standing	A	37.97	81.7	Zipporiah Mills	47.4	15K261	C	P.S. 261 PHILIP LIVINGSTON	10.4	17.1	A	15	ESMS	A	Elementary	Proficient (2008-09)	CLSO
A	4.5	In Good Standing	A	49.44	85.6	Deanna Marco	52.7	15K295	A	P.S. 295	10.2	18.2	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	7.5	In Good Standing	A	16.31	84.3	Elizabeth Phillips	46.2	15K321	B	P.S. 321 WILLIAM PENN	12.4	18.2	A	15	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	6.8	Restructuring (year 1) -  Comprehensive	D	3.04	85.8	Lisa Gibbs	53.6	15K429	C	BROOKLYN SCHOOL FOR GLOBAL STUDIES	6.1	19.3	A	15	ESMS	A	Middle	Proficient (2008-09)	ESO
C	3	Restructuring (year 1) -  Comprehensive	D	2.09	50.6	Lisa Gibbs	29.3	15K429	B	BROOKLYN SCHOOL FOR GLOBAL STUDIES	6.4	11.9	C	15	HS	C	High School	Proficient (2008-09)	ESO
A	5.3	In Good Standing	B	2.90	88.4	Mary Lou Aranyos	50.7	15K442	B	NEW HORIZONS SCHOOL	10.1	22.3	A	15	ESMS	A	Middle	Well Developed (2007-08)	CLSO
A	3.8	In Good Standing	A	3.29	100.2	Frank Giordano	58.7	15K443	A	NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS	12.7	25.0	A	15	ESMS	A	Middle	Proficient (2007-08)	CLSO
A	7.5	In Good Standing	B	3.53	94.8	Mrs. Lisa Gioe-Cordi	53.5	15K447	A	THE MATH & SCIENCE EXPLORATORY SCHOOL	9.6	24.2	A	15	ESMS	A	Middle	Well Developed (2007-08)	CLSO
B	1.5	In Good Standing	B	3.14	63.9	Alyce Barr	34.1	15K448	A	BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES	10.1	18.2	B	15	ESMS	A	Middle	Proficient (2008-09)	ESO
A	6	In Good Standing	A	2.10	81.7	Alyce Barr	40.9	15K448		BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES	11.7	23.1	B	15	HS	A	High School	Proficient (2008-09)	ESO
A	7.5	In Good Standing	C	2.84	86.5	Larry Woodbridge	47.9	15K462	B	SECONDARY SCHOOL FOR LAW	7.8	23.3	A	15	ESMS	A	Middle	Proficient (2008-09)	ESO
C	1	In Good Standing	D	2.69	44.1	Larry Woodbridge	28.0	15K462	D	SECONDARY SCHOOL FOR LAW	6.3	8.8	C	15	HS	F	High School	Proficient (2008-09)	ESO
A	4.5	In Good Standing	B	2.86	80.4	Abbie Reif	43.0	15K463	A	SECONDARY SCHOOL FOR JOURNALISM	9.1	23.8	A	15	ESMS	A	Middle	Proficient (2008-09)	CLSO
C	6	In Good Standing	D	2.51	48.3	Abbie Reif	24.9	15K463	C	SECONDARY SCHOOL FOR JOURNALISM	6.2	11.2	D	15	HS	C	High School	Proficient (2008-09)	CLSO
A	1.5	In Good Standing	C	2.97	69.5	Jill Bloomberg	35.3	15K464	B	SECONDARY SCHOOL FOR RESEARCH	7.7	25.0	B	15	ESMS	A	Middle	Well Developed (2007-08)	CLSO
B	4	In Good Standing	B	2.29	56.1	Jill Bloomberg	29.3	15K464	B	SECONDARY SCHOOL FOR RESEARCH	9.1	13.7	C	15	HS	B	High School	Well Developed (2007-08)	CLSO
A	6.8	Improvement (year 1) -  Comprehensive	C	3.01	84.5	Fred Walsh	47.2	15K497	C	SCHOOL FOR INTERNATIONAL STUDIES	7.7	22.8	A	15	ESMS	A	Middle	Proficient (2008-09)	CLSO
A	5	Improvement (year 1) -  Comprehensive	C	2.23	70.9	Fred Walsh	42.1	15K497	B	SCHOOL FOR INTERNATIONAL STUDIES	7.7	16.1	A	15	HS	B	High School	Proficient (2008-09)	CLSO
A	10	Corrective Action (year 1) -  Focused	B	1.96	89.6	Karen Watts	53.0	15K498	B	ACORN HIGH SCHOOL FOR SOCIAL JUSTICE	10.3	16.3	A	15	HS	B	High School	Well Developed (2007-08)	CLSO
B	3	Corrective Action (year 1) -  Comprehensive	C	1.82	58.0	Kenneth Cuthbert	31.6	15K519	C	COBBLE HILL SCHOOL OF AMERICAN STUDIES	7.5	15.9	C	15	HS	B	High School	Proficient (2008-09)	CLSO
F	0.0	In Good Standing	B	2.23	37.4	MICHAEL COURTNEY	20.5	15K520	C	PACIFIC HIGH SCHOOL	8.6	8.3	F	15	HS	F	Transfer School	Proficient (2008-09)	ESO
A	3.8	In Good Standing	B	2.56	79.4	Liliana Polo	42.4	15K529	A	WEST BROOKLYN COMMUNITY HIGH SCHOOL	9.9	23.3	A	15	HS	A	Transfer School	Proficient (2007-08)	New Visions
D	0	Restructuring (year 2) -  Comprehensive	C	2.15	43.1	Lennel George	26.6	15K530	C	METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL	7.2	9.3	C	15	HS	D	High School	Underdeveloped (2008-09)	CLSO
B	3	In Good Standing	B	2.72	57.5	Margaret Lacey Berman	31.6	15K656	B	BROOKLYN HIGH SCHOOL OF THE ARTS	9.7	13.2	C	15	HS	C	High School	Proficient (2008-09)	ESO
C	0.0	Corrective Action (year 1) -  Comprehens	C	2.41	53.6	Louis Garcia	30.4	15K698	B	SOUTH BROOKLYN COMMUNITY HIGH SCHOOL	7.5	15.7	C	15	HS	B	Transfer School	Proficient (2008-09)	New Visions
A	6.8	In Good Standing	B	3.30	83.7	Lola Padin	45.7	15K821	B	SUNSET PARK PREP	9.5	21.7	A	15	ESMS	A	Middle	Well Developed (2007-08)	CLSO
A	3.8	In Good Standing	C	58.60	76.4	Lena Gates	44.6	16K005	A	P.S. 005 DR. RONALD MCNAIR	7.1	20.9	A	16	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
B	1.5	In Good Standing	A	54.36	62.9	Harold Anderson	27.7	16K021	A	P.S. 021 CRISPUS ATTUCKS	12.8	20.9	C	16	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	4.5	In Good Standing	C	61.36	73.1	Anita Coley	45.1	16K025	B	P.S. 025 EUBIE BLAKE SCHOOL	6.8	16.7	A	16	ESMS	B	Elementary	Proficient (2007-08)	CLSO
A	2.3	In Good Standing	A	58.33	77.0	Michele Ashley	43.1	16K026	B	P.S. 026 JESSE OWENS	10.3	21.3	A	16	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
D	0.0	In Good Standing	A	58.37	41.9	Sadie Silver	17.6	16K028	B	P.S. 028 THE WARREN PREP ACADEMY	12.6	11.7	F	16	ESMS	C	Elementary	Proficient (2007-08)	CLSO
A	3.8	In Good Standing	A	2.80	76.8	Jacklyn Charles-Marcus	36.7	16K035	A	M.S. 035 STEPHEN DECATUR	11.3	25.0	B	16	ESMS	A	Middle	Proficient (2007-08)	CLSO
A	4.5	In Good Standing	A	61.46	91.6	Leonie Hibbert	57.4	16K040	B	P.S. 040 GEORGE W. CARVER	12.5	17.2	A	16	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
A	2.3	In Good Standing	A	2.79	72.4	Celeste Douglas	34.3	16K057	B	J.H.S. 057 WHITELAW REID	13.2	22.6	B	16	ESMS	A	Middle	Well Developed (2007-08)	CLSO
A	2.3	In Good Standing	A	60.34	68.5	Cheryl Ault	37.6	16K081	A	P.S. 081 THADDEUS STEVENS	11.0	17.6	B	16	ESMS	A	Elementary	Well Developed (2007-08)	CEI-PEA
A	4.5	In Good Standing	B	65.02	89.2	Karen Hambright-Glover	53.5	16K243	A	P.S. 243K- THE WEEKSVILLE SCHOOL	9.2	22.0	A	16	ESMS	A	Elementary	Proficient (2007-08)	CLSO
A	6.0	In Good Standing	A	60.73	102.1	Joeletha Ferguson	60.0	16K262	A	P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL	11.1	25.0	A	16	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
A	6.8	Restructuring (year 1) -  Focused	B	2.82	77.1	Patricia King	36.5	16K267	A	M.S. 267 MATH, SCIENCE & TECHNOLOGY	9.3	24.5	B	16	ESMS	A	Middle	Proficient (2007-08)	CLSO
A	7.5	In Good Standing	B	58.14	74.3	Renata Clement	39.4	16K308	B	P.S. 308 CLARA CARDWELL	8.9	18.5	B	16	ESMS	A	K-8	Well Developed (2007-08)	CLSO
B	3.8	In Good Standing	C	57.82	58.1	Rebecca Fonville	32.4	16K309	B	P.S. 309 GEORGE E. WIBECAN	7.5	14.4	B	16	ESMS	B	Elementary	Proficient (2007-08)	CLSO
A	6.0	In Good Standing	B	61.89	100.7	Laverne Nimmons	60.0	16K335	A	P.S. 335 GRANVILLE T. WOODS	9.7	25.0	A	16	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
A	8.3	In Good Standing	B	2.80	92.1	Glyn Marryshow	50.1	16K385	B	SCHOOL OF BUSINESS, FINANCE AND ENTREPRENEURSHIP	8.7	25.0	A	16	ESMS	A	Middle	Proficient (2007-08)	CLSO
C	3.0	In Good Standing	F	3.46	48.0	Marian Bowden	28.0	16K393	C	FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL	3.5	13.5	C	16	ESMS	B	Middle	Underdeveloped (2008-09)	CLSO
D	1	In Good Standing	F	2.43	42.9	Marian Bowden	11.9	16K393		FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL	5.0	25.0	F	16	HS	A	High School	Underdeveloped (2008-09)	CLSO
D	0	Restructuring (Advanced) -  Comprehensive	C	1.94	42.1	Spencer Holder	27.0	16K455	B	BOYS AND GIRLS HIGH SCHOOL	7.3	7.8	C	16	HS	F	High School	Proficient (2007-08)	CLSO
B	3.8	In Good Standing	C	2.69	65.0	William Cooper	33.0	16K534	C	UPPER SCHOOL @ P.S. 25	7.2	21.0	B	16	ESMS	A	Middle	Proficient (2008-09)	CLSO
A	3.0	In Good Standing	A	2.90	83.3	Gilleyan J. Hargrove	46.5	16K584	B	M.S. 584	10.3	23.5	A	16	ESMS	A	Middle	Proficient (2007-08)	CLSO
""				2.45		ALEXANDER WHITE		16K594		GOTHAM PROFESSIONAL ARTS ACADEMY				16	HS		High School		ESO
""	1	Pending																Proficient (2008-09)	
""				66.16		Danika Lacroix		16K636		YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLORATION				16	ESMS		Elementary		LLSO
""		In Good Standing																No QR in last two years	
A	8.3	Restructuring (year 2) -  Focused	A	2.78	80.0	Adrienne Spencer	37.7	17K002	A	M.S. 002	11.0	23.0	B	17	ESMS	A	Middle	Outstanding (2007-08)	ICI
A	5.3	Improvement (year 1) -  Basic	A	61.48	70.0	Ellen Carlisle	34.6	17K006	A	P.S. 006	11.9	18.2	B	17	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	3.0	In Good Standing	C	63.42	88.5	Nyree Dixon	60.0	17K012	D	P.S. 012	6.9	18.6	A	17	ESMS	A	Elementary	Proficient (2008-09)	ICI
A	6.8	In Good Standing	F	64.11	71.9	Carlen Padmore	44.9	17K022	B	P.S. 022	2.8	17.4	A	17	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	4.5	Corrective Action (year 2) -  Focused	A	3.09	75.6	Sandra Taylor	38.9	17K061	B	M.S. 061 DR. GLADSTONE H. ATWELL	10.3	21.9	B	17	ESMS	A	Middle	Well Developed (2007-08)	ICI
A	6.0	In Good Standing	A	64.96	77.1	Mr. Solomon Long	37.4	17K091	A	P.S. 091 THE ALBANY AVENUE SCHOOL	10.4	23.3	B	17	ESMS	A	Elementary	Well Developed (2007-08)	CLSO
A	3.8	In Good Standing	B	58.32	72.9	Ms. Diana Rahmaan	45.2	17K092	B	P.S. 092 ADRIAN HEGEMAN	9.0	14.9	A	17	ESMS	B	Elementary	Well Developed (2007-08)	ESO
A	8.3	In Good Standing	A	59.72	85.3	Ms. Marie Chauvet-Monchik	45.5	17K138	A	P.S. 138 BROOKLYN	10.7	20.8	A	17	ESMS	A	K-8	Proficient (2007-08)	ICI
A	5.3	In Good Standing	B	52.07	80.2	Ms. Deborah Barrett	45.4	17K161	C	P.S. 161 THE CROWN	9.3	20.2	A	17	ESMS	A	K-8	Proficient (2008-09)	ESO
A	4.5	In Good Standing	C	63.17	77.1	Joan Palmer	49.4	17K167	B	P.S. 167 THE PARKWAY	7.7	15.5	A	17	ESMS	B	Elementary	Proficient (2007-08)	KLSO
A	9.0	In Good Standing	C	57.57	85.3	Lowell Coleman	47.6	17K181	B	P.S. 181 BROOKLYN	7.3	21.4	A	17	ESMS	A	K-8	Well Developed (2007-08)	ICI
A	9.8	In Good Standing	A	59.24	97.5	Ms. Berthe G. Faustin	50.1	17K189	A	P.S. 189 LINCOLN TERRACE	12.6	25.0	A	17	ESMS	A	K-8	Well Developed (2007-08)	ESO
B	6.0	Improvement (year 2) -  Basic	B	64.62	66.2	Mrs. Elsi Capolongo	36.7	17K191	B	P.S. 191 PAUL ROBESON	9.1	14.4	B	17	ESMS	B	Elementary	Well Developed (2007-08)	CLSO
A	4.5	In Good Standing	B	56.26	78.9	Clara Moodie-Kirkland	47.8	17K221	C	P.S. 221 TOUSSAINT L'OUVERTURE	9.2	17.4	A	17	ESMS	A	Elementary	Well Developed (2008-09)	CLSO
A	6.0	In Good Standing	B	61.61	90.5	Philip A. Dominique	49.9	17K241	A	P.S. 241 EMMA L. JOHNSTON	9.7	24.9	A	17	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	5.3	Restructuring (Advanced) -  Focused	A	2.81	70.0	Bently Warrington	35.6	17K246	B	M.S. 246 WALT WHITMAN	10.2	18.9	B	17	ESMS	A	Middle	Proficient (2007-08)	ICI
B	3.8	In Good Standing	B	59.38	57.6	Mr. Dennis O. Jeffers	26.8	17K289	A	P.S. 289 GEORGE V. BROWER	8.2	18.8	C	17	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	5.3	In Good Standing	C	62.84	81.0	Elif Gure	51.8	17K316	B	P.S. 316 ELIJAH STROUD	7.2	16.7	A	17	ESMS	B	Elementary	Proficient (2008-09)	ESO
C	0.0	Improvement (year 1) -  Comprehensive	C	2.68	53.2	Kathleen Clarke-Glover	28.9	17K334	C	MIDDLE SCHOOL FOR ACADEMIC AND SOCIAL EXCELLENCE	7.9	16.4	C	17	ESMS	B	Middle	Underdeveloped with Proficient Features (2008-09)	ESO
B	3.0	In Good Standing	B	3.63	54.9	Mrs. Jean Williams	27.4	17K340	F	I.S. 340	9.1	15.4	C	17	ESMS	B	Middle	Proficient (2008-09)	ICI
A	12.0	Corrective Action (year 1) -  Focused	B	2.73	90.5	Margie Baker	48.2	17K352	B	EBBETS FIELD MIDDLE SCHOOL	9.3	21.0	A	17	ESMS	A	Middle	Well Developed (2007-08)	CLSO
A	2.3	In Good Standing	B	2.90	74.8	Claudette Essor	41.6	17K353	A	ELIJAH STROUD MIDDLE SCHOOL	9.3	21.6	A	17	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	9.0	In Good Standing	A	2.65	94.9	Monique Campbell	50.5	17K354	B	THE SCHOOL OF INTEGRATED LEARNING	10.4	25.0	A	17	ESMS	A	Middle	Proficient (2007-08)	ESO
A	11.3	Corrective Action (year 1) -  Focused	A	61.88	100.3	Ms. Marion Wilson	59.6	17K375	B	P.S. 375 JACKIE-ROBINSON SCHOOL	12.8	16.6	A	17	ESMS	B	Elementary	Well Developed (2007-08)	CLSO
C	0.0	In Good Standing	D	3.16	52.3	Ditta Korbeogo	27.4	17K382	A	ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL	5.2	19.7	C	17	ESMS	A	Middle	Underdeveloped with Proficient Features (2008-09)	ESO
""				2.46		Ditta Korbeogo		17K382		ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL				17	HS		High School		ESO
""	2	In Good Standing																Underdeveloped with Proficient Features (2008-09)	
A	3.0	In Good Standing	A	60.71	71.8	Ms. Claudette Murray	32.5	17K394	A	M.S. K394	12.6	23.7	B	17	ESMS	A	K-8	Well Developed (2007-08)	CLSO
A	1.5	In Good Standing	A	55.77	75.0	Nancy Colon	46.5	17K397	B	P.S. 397 FOSTER-LAURIE	10.4	16.6	A	17	ESMS	B	Elementary	Proficient (2007-08)	Fordham
A	6.0	Corrective Action (year 1) -  Focused	C	62.10	88.1	Diane Danay-Caban	60.0	17K398	D	P.S. 398 WALTER WEAVER	7.1	15.0	A	17	ESMS	B	Elementary	Proficient (2008-09)	ICI
A	1.5	In Good Standing	A	59.44	84.8	Marion J. Brown	44.2	17K399	A	P.S. 399 STANLEY EUGENE CLARK	14.1	25.0	A	17	ESMS	A	Elementary	Well Developed (2007-08)	ESO
""				2.34		Adam Breier		17K408		ACADEMY OF HOSPITALITY AND TOURISM				17	HS		High School		New Visions
""	4	In Good Standing																Proficient (2008-09)	
A	3.0	In Good Standing	A	2.76	77.7	Herbert Daughtry	38.5	17K484	A	RONALD EDMONDS LEARNING CENTER II	11.2	25.0	B	17	ESMS	A	Middle	Proficient (2007-08)	ESO
B	0.0	Improvement (year 2) -  Comprehensive	C	2.34	54.0	Catherine Hartnett	32.3	17K489	B	W.E.B. DUBOIS ACADEMIC HIGH SCHOOL	7.7	14.0	C	17	HS	B	Transfer School	Proficient (2007-08)	ESO
A	10	In Good Standing	A	2.18	77.1	Alexandra Anormaliza	36.9	17K524	A	INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS	14.9	15.3	B	17	HS	B	High School	Well Developed (2007-08)	ESO
C	3	In Good Standing	C	2.32	44.5	Steve Rau	24.4	17K528	B	HIGH SCHOOL FOR GLOBAL CITIZENSHIP, THE	7.0	10.1	D	17	HS	D	High School	Proficient (2008-09)	New Visions
A	3.0	Improvement (year 1) -  Basic	A	2.99	80.3	Michael Alexander	42.8	17K531	B	SCHOOL FOR HUMAN RIGHTS, THE	12.1	22.4	A	17	ESMS	A	Middle	Proficient (2007-08)	KLSO
A	3	Improvement (year 1) -  Basic	A	2.18	76.3	MICHAEL ALEXANDER	45.7	17K531	B	SCHOOL FOR HUMAN RIGHTS, THE	11.9	15.7	A	17	HS	B	High School	Proficient (2007-08)	KLSO
B	4.5	In Good Standing	B	3.06	61.0	Rebecca Ostro	34.2	17K533	C	SCHOOL FOR DEMOCRACY AND LEADERSHIP	8.3	14.0	B	17	ESMS	B	Middle	Proficient (2008-09)	ESO
B	5	In Good Standing	C	2.25	61.6	Rebecca Ostro	33.2	17K533	A	SCHOOL FOR DEMOCRACY AND LEADERSHIP	6.6	16.8	B	17	HS	B	High School	Proficient (2008-09)	ESO
C	2	In Good Standing	B	2.06	51.4	Mary Prendergast	32.6	17K537	B	HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS	8.7	8.1	B	17	HS	F	High School	Well Developed (2007-08)	New Visions
A	7	In Good Standing	A	2.12	89.3	Leonard Kassan	49.3	17K539	A	HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS	12.0	21.0	A	17	HS	A	High School	Well Developed (2007-08)	ICI
B	0.0	In Good Standing	B	3.43	59.8	Dr. Eric L. Blake	29.5	17K543	A	SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS	9.7	20.6	C	17	ESMS	A	Middle	Well Developed (2008-09)	CUNY
A	0	In Good Standing	C	3.19	81.7	Dr. Eric L. Blake	55.6	17K543	A	SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS	7.5	18.6	A	17	HS	A	High School	Well Developed (2008-09)	CUNY
D	0	In Good Standing	B	2.40	41.1	Ms. Sheila Hanley	20.9	17K544	B	INTERNATIONAL ARTS BUSINESS SCHOOL	9.8	10.4	F	17	HS	D	High School	Well Developed (2007-08)	New Visions
A	4	In Good Standing	A	2.89	88.1	Ben Shuldiner	53.6	17K546	A	HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW	10.8	19.7	A	17	HS	A	High School	Well Developed (2007-08)	ESO
C	2	In Good Standing	D	2.48	52.9	Veronica Peterson	29.9	17K547	B	BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT	5.9	15.1	C	17	HS	B	High School	Proficient (2007-08)	New Visions
