overall_grade	additional_credit	_state_accountability_status	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	school_level_	most_recent_quality_review_score	_school_support_organization
A	3.8	In Good Standing	A	25.37	96.3	Dean Ketchum	60.0	02M212	A	P.S. 212 MIDTOWN WEST	12.8	19.7	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
B	1.5	In Good Standing	B	35.50	66.0	Mandana Beckman	40.8	02M217	C	P.S./I.S. 217 ROOSEVELT ISLAND	8.3	15.4	A	2	ESMS	B	K-8	Proficient (2008-09)	ESO
A	4.5	In Good Standing	A	42.92	68.7	Laura Garcia	40.7	02M225	C	ELLA BAKER SCHOOL	11.3	12.2	B	2	ESMS	C	K-8	Well Developed (2008-09)	ESO
A	0.8	In Good Standing	A	10.27	93.6	Lisa Ripperger	60.0	02M234	A	P.S. 234 INDEPENDENCE SCHOOL	10.9	21.9	A	2	ESMS	A	Elementary	Proficient (2007-08)	ICI
B	3.0	In Good Standing	A	3.86	66.5	Rhonda Perry	29.4	02M255	B	M.S. 255 SALK SCHOOL OF SCIENCE	11.7	22.4	C	2	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	4.5	In Good Standing	A	3.54	90.7	Jeanne Marie Fraino	51.5	02M260	A	M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS	10.7	24.0	A	2	ESMS	A	Middle	Proficient (2007-08)	ESO
A	8	In Good Standing	C	2.31	85.7	Roger Turgeon	45.0	02M288	A	FOOD AND FINANCE HIGH SCHOOL	7.7	25.0	A	2	HS	A	High School	Proficient (2007-08)	ESO
B	0.0	In Good Standing	A	3.69	65.9	Ellen Foote	35.2	02M289	A	I.S. 289	11.0	19.7	B	2	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	0.8	In Good Standing	A	12.96	71.6	Sharon Hill	38.9	02M290	A	P.S. 290 MANHATTAN NEW SCHOOL	13.3	18.6	B	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	9	In Good Standing	A	2.30	95.1	Alex Shub	49.1	02M294	A	ESSEX STREET ACADEMY	12.0	25.0	A	2	HS	A	High School	Well Developed (2007-08)	ESO
A	14	In Good Standing	D	2.39	105.3	Matthew Corallo	60.0	02M296	A	HIGH SCHOOL OF HOSPITALITY MANAGEMENT	6.5	24.8	A	2	HS	A	High School	Underdeveloped with Proficient Features (2008-09)	ESO
A	6	In Good Standing	A	2.82	73.3	Yvette Sy	39.7	02M298	A	PACE HIGH SCHOOL	10.7	16.9	B	2	HS	B	High School	Well Developed (2007-08)	ESO
A	6	In Good Standing	C	2.51	71.6	Mathew Willoughby	38.6	02M300	B	URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE	7.6	19.4	B	2	HS	A	High School	Proficient (2008-09)	ESO
A	10	In Good Standing	A	2.00	73.4	Gillian Smith	40.2	02M303		FACING HISTORY SCHOOL, THE	10.8	12.4	B	2	HS	C	High School	Proficient (2008-09)	ESO
B	3	In Good Standing	D	2.46	57.4	Joaquin Tamayo	35.0	02M305		URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE	5.5	13.9	B	2	HS	B	High School	Proficient (2008-09)	ESO
A	11	In Good Standing	A	2.09	94.7	John Wenk	52.1	02M308		LOWER MANHATTAN ARTS ACADEMY	11.4	20.2	A	2	HS	A	High School	Well Developed (2008-09)	ESO
A	0.0	In Good Standing	A	3.99	85.0	Megan Adams	50.9	02M312	A	NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES	11.3	22.8	A	2	ESMS	A	Middle	Underdeveloped with Proficient Features (2008-09)	ESO
B	2.5	In Good Standing	B	2.34	64.1	Elijah Hawkes	28.4	02M313		JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING	9.3	23.9	C	2	HS	A	Transfer School	Well Developed (2008-09)	ESO
A	6	In Good Standing	B	2.28	74.4	Patricia Minaya	39.2	02M316		URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE	10.1	19.1	B	2	HS	A	High School	Proficient (2008-09)	ESO
A	3.0	In Good Standing	C	63.68	82.5	Rebecca Marshall	60.0	02M347	D	THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL	6.9	12.6	A	2	ESMS	C	Elementary	Proficient (2008-09)	ESO
""				2.40		Denise DiCarlo		02M374		GRAMERCY ARTS HIGH SCHOOL				2	HS		High School		ESO
""	7	In Good Standing																	
""				3.19		Mary Moss/ Alisa Berger		02M376		NYCISCHOOL				2	HS		High School		ESO
""	0	Pending																	
B	1	In Good Standing	B	2.68	62.1	Shirley H. Matthews	37.7	02M400	B	HIGH SCHOOL FOR ENVIRONMENTAL STUDIES	9.0	14.4	B	2	HS	B	High School	Well Developed (2007-08)	ICI
B	1.5	In Good Standing	A	3.61	67.3	John Pettinato	35.9	02M407	C	INSTITUTE FOR COLLABORATIVE EDUCATION	13.2	16.7	B	2	ESMS	B	Middle	Well Developed (2008-09)	ESO
A	4	In Good Standing	A	2.73	81.1	JOHN PETTINATO	51.2	02M407	A	INSTITUTE FOR COLLABORATIVE EDUCATION	14.7	11.2	A	2	HS	C	High School	Well Developed (2008-09)	ESO
B	0.0	In Good Standing	B	3.82	64.4	Keith Ryan	36.8	02M408	A	PROFESSIONAL PERFORMING ARTS HIGH SCHOOL	8.8	18.8	B	2	ESMS	A	Middle	Proficient (2007-08)	CLSO
A	0	In Good Standing	A	3.13	78.2	Keith Ryan	47.6	02M408	A	PROFESSIONAL PERFORMING ARTS HIGH SCHOOL	10.7	19.9	A	2	HS	A	High School	Proficient (2007-08)	CLSO
A	0	In Good Standing	A	3.47	83.6	Alicia Perez-Katz	49.0	02M411	A	BARUCH COLLEGE CAMPUS HIGH SCHOOL	12.1	22.5	A	2	HS	A	High School	Well Developed (2007-08)	ESO
A	2	In Good Standing	B	3.31	79.8	Brooke Jackson	44.5	02M412	A	N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES	9.6	23.7	A	2	HS	A	High School	Proficient (2007-08)	ESO
A	1.5	In Good Standing	B	3.54	78.6	Stacy Paige Goldstein	44.9	02M413	B	SCHOOL OF THE FUTURE HIGH SCHOOL	9.7	22.5	A	2	ESMS	A	Middle	Well Developed (2007-08)	CLSO
A	2	In Good Standing	B	2.75	81.5	STACY PAIGE GOLDSTEIN	44.8	02M413	A	SCHOOL OF THE FUTURE HIGH SCHOOL	10.2	24.5	A	2	HS	A	High School	Well Developed (2007-08)	CLSO
A	6	In Good Standing	D	2.79	79.3	Darlene Miller	47.9	02M414	A	N.Y.C. MUSEUM SCHOOL	5.4	20.0	A	2	HS	A	High School	Proficient (2007-08)	ICI
A	0	In Good Standing	A	3.51	85.6	Dimitri Saliani	51.5	02M416	A	ELEANOR ROOSEVELT HIGH SCHOOL	11.8	22.3	A	2	HS	A	High School	Well Developed (2008-09)	ESO
A	2	In Good Standing	A	3.19	80.0	Robert Rhodes	43.7	02M418	A	MILLENNIUM HIGH SCHOOL	13.1	21.2	A	2	HS	A	High School	Well Developed (2007-08)	New Visions
C	1	In Good Standing	B	2.08	46.8	Trevor Naidoo	27.1	02M419	B	LANDMARK HIGH SCHOOL	8.5	10.2	C	2	HS	D	High School	Well Developed (2007-08)	ESO
C	1	In Good Standing	C	2.86	45.3	Marta Jimenez	26.9	02M420	B	HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES	6.7	10.7	C	2	HS	D	High School	Well Developed (2007-08)	CLSO
C	2	In Good Standing	B	2.33	51.7	Lawrence Pendergast	30.1	02M425	C	LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL	9.6	10.0	C	2	HS	D	High School	Underdeveloped with Proficient Features (2008-09)	ESO
D	0	In Good Standing	C	1.96	43.1	Gregory Rodrigues	25.7	02M429	C	LEGACY SCHOOL FOR INTEGRATED STUDIES	7.6	9.8	D	2	HS	D	High School	Proficient (2008-09)	ICI
A	4	In Good Standing	A	2.85	93.7	Hector Geager	57.7	02M439	A	MANHATTAN VILLAGE ACADEMY	13.0	19.0	A	2	HS	A	High School	Well Developed (2007-08)	CLSO
""						Nancy Amling		02M440		BAYARD RUSTIN EDUCATIONAL COMPLEX				2	HS		High School		ESO
""	1	Restructuring (Advanced) -  Comprehensive							F									Proficient (2007-08)	
A	0.0	In Good Standing	A	33.42	78.8	John Treadwell	44.6	02M442	B	BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE	11.6	22.6	A	2	ESMS	A	K-8	Well Developed (2007-08)	CLSO
A	7	In Good Standing	A	2.03	70.6	Louis Delgado	30.4	02M449	A	VANGUARD HIGH SCHOOL	11.9	21.3	C	2	HS	A	High School	Well Developed (2007-08)	ESO
A	6	In Good Standing	A	2.53	73.5	Alan Krull	42.8	02M459	B	MANHATTAN INTERNATIONAL HIGH SCHOOL	12.1	12.6	A	2	HS	C	High School	Proficient (2007-08)	ESO
C	3	Restructuring (Advanced) -  Comprehensive	D	2.05	46.3	Bernardo Ascona	30.2	02M460	F	WASHINGTON IRVING HIGH SCHOOL	5.9	7.2	C	2	HS	F	High School	Proficient (2008-09)	ESO
A	0	In Good Standing	B	4.05	76.7	Stanley Teitel	46.2	02M475	A	STUYVESANT HIGH SCHOOL	8.9	21.6	A	2	HS	A	High School	Well Developed (2007-08)	ICI
B	1	In Good Standing	C	2.73	54.5	MICHAEL STANZIONE	34.6	02M489	B	HIGH SCHOOL OF ECONOMICS AND FINANCE	6.7	12.2	B	2	HS	C	High School	Well Developed (2007-08)	CLSO
A	5	Improvement (year 1) -  Comprehensive	B	1.85	70.6	FAUSTO DE LA ROSA	45.5	02M500	B	UNITY CENTER FOR URBAN TECHNOLOGIES	9.2	10.9	A	2	HS	D	High School	Proficient (2008-09)	CLSO
A	1	In Good Standing	A	3.08	79.3	Linda Hamil	48.1	02M519	A	TALENT UNLIMITED HIGH SCHOOL	10.9	19.3	A	2	HS	A	High School	Well Developed (2007-08)	ESO
D	0	Restructuring (year 2) -  Focused	D	2.40	37.9	Barbara A. Esmilla	19.6	02M520	C	MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS	5.8	12.5	F	2	HS	C	High School	Proficient (2008-09)	CLSO
C	1	In Good Standing	D	2.42	48.4	Edward DeMeo	29.5	02M529	B	JACQUELINE KENNEDY ONASSIS HIGH SCHOOL	6.3	11.6	C	2	HS	C	High School	Proficient (2007-08)	CLSO
A	6	In Good Standing	B	2.55	73.4	Michael Mehmet Jr.	37.6	02M531	A	REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS	10.4	19.4	B	2	HS	A	High School	Well Developed (2007-08)	ESO
A	5	In Good Standing	A	2.06	76.3	Mirza Sanchez Medina	42.1	02M542	A	MANHATTAN BRIDGES HIGH SCHOOL	12.4	16.8	A	2	HS	B	High School	Well Developed (2007-08)	New Visions
A	7	In Good Standing	B	2.22	70.9	Scott Conti	35.6	02M543	A	NEW DESIGN HIGH SCHOOL	9.7	18.6	B	2	HS	A	High School	Proficient (2007-08)	ESO
C	5.0	In Good Standing	A	2.34	52.1	Ron Smolkin	23.6	02M544	A	INDEPENDENCE HIGH SCHOOL	13.1	10.4	D	2	HS	D	Transfer School	Proficient (2007-08)	ESO
A	2	In Good Standing	B	3.12	75.7	Li Yan	40.3	02M545	A	HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES	9.7	23.7	B	2	HS	A	High School	Well Developed (2007-08)	ESO
A	5.0	Improvement (year 2) -  Comprehensive	F	2.08	82.5	Melodee Khristan	52.9	02M550	A	LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS	5.6	19.0	A	2	HS	A	Transfer School	Proficient (2007-08)	ESO
B	8.8	In Good Standing	C	2.57	66.5	Antoniette Scarpinato	30.8	02M560	B	HIGH SCHOOL M560 - CITY AS SCHOOL	7.2	19.7	C	2	HS	A	Transfer School	Well Developed (2007-08)	ESO
A	1.3	In Good Standing	A	2.88	80.8	Herb Mack	41.8	02M565	A	URBAN ACADEMY LABORATORY HIGH SCHOOL	14.0	23.7	A	2	HS	A	Transfer School	Outstanding (2007-08)	ESO
C	1.3	In Good Standing	B	2.31	49.4	STEVEN ZBAIDA	27.0	02M570	B	SATELLITE ACADEMY HIGH SCHOOL	8.2	12.9	C	2	HS	C	Transfer School	Well Developed (2007-08)	ESO
A	11.3	In Good Standing	B	2.41	78.4	Howard A. Friedman	45.4	02M575	A	MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL	10.0	11.7	A	2	HS	C	Transfer School	Well Developed (2007-08)	ESO
B	3	In Good Standing	A	2.23	59.6	David Raubvogel	33.2	02M580	B	RICHARD R. GREEN HIGH SCHOOL OF TEACHING	10.9	12.5	B	2	HS	C	High School	Proficient (2008-09)	CLSO
B	5.0	Improvement (year 1) -  Basic	B	2.15	66.6	ALAN NOLAN	42.0	02M586	B	HARVEY MILK HIGH SCHOOL	9.1	10.5	A	2	HS	D	Transfer School	Proficient (2007-08)	ESO
A	14	In Good Standing	B	2.69	93.7	Hilda Nieto	51.5	02M600	A	THE HIGH SCHOOL OF FASHION INDUSTRIES	8.9	19.3	A	2	HS	A	High School	Well Developed (2007-08)	ICI
B	3.8	In Good Standing	F	2.54	66.6	Julie Conason	35.3	02M605	A	HUMANITIES PREPARATORY ACADEMY	5.3	22.2	B	2	HS	A	Transfer School	Well Developed (2007-08)	ESO
C	1	Restructuring (Advanced) -  Comprehensive	D	2.13	48.6	Brian Rosenbloom	33.7	02M615	F	CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL	6.0	7.9	B	2	HS	F	High School	Proficient (2008-09)	ESO
D	1	Restructuring (Advanced) -  Comprehensive	F	2.11	36.0	Steven M. Satin	22.8	02M620	D	NORMAN THOMAS HIGH SCHOOL	4.8	7.4	D	2	HS	F	High School	Proficient (2008-09)	CLSO
C	2	Restructuring (Advanced) -  Comprehensive	C	1.96	49.3	Jerod Resnick	33.0	02M625	C	HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS	7.0	7.3	B	2	HS	F	High School	Proficient (2008-09)	ICI
B	7	In Good Standing	F	2.67	60.9	Scott M. Feltzin	37.1	02M630	B	ART AND DESIGN HIGH SCHOOL	4.6	12.2	B	2	HS	C	High School	Well Developed (2007-08)	ICI
